customer_id,age,gender,city,plan_id
C00001,56,Male,Kinshasa,3
C00002,69,Female,Kananga,3
C00003,46,Female,Matadi,4
C00004,32,Female,Mbuji-Mayi,1
C00005,60,Male,Mbuji-Mayi,2
C00006,25,Female,Lubumbashi,1
C00007,38,Female,Kolwezi,1
C00008,56,Female,Lubumbashi,2
C00009,36,Male,Matadi,1
C00010,40,Male,Mbuji-Mayi,3
C00011,28,Female,Kinshasa,2
C00012,28,Female,Kananga,3
C00013,41,Female,Lubumbashi,1
C00014,53,Male,Mbuji-Mayi,4
C00015,57,Male,Kananga,4
C00016,41,Male,Kolwezi,4
C00017,20,Female,Bukavu,3
C00018,39,Male,Kananga,3
C00019,19,Female,Mbuji-Mayi,2
C00020,41,Female,Matadi,1
C00021,61,Male,Lubumbashi,2
C00022,47,Female,Lubumbashi,3
C00023,55,Male,Kisangani,4
C00024,19,Female,Mbuji-Mayi,2
C00025,38,Female,Kisangani,1
C00026,50,Male,Kinshasa,2
C00027,29,Female,Kinshasa,4
C00028,39,Female,Mbuji-Mayi,1
C00029,61,Female,Lubumbashi,1
C00030,42,Female,Kolwezi,2
C00031,66,Female,Goma,1
C00032,44,Female,Kinshasa,1
C00033,59,Female,Lubumbashi,1
C00034,45,Female,Likasi,3
C00035,33,Male,Likasi,1
C00036,32,Male,Kisangani,2
C00037,64,Female,Kananga,3
C00038,68,Female,Kolwezi,4
C00039,61,Male,Kisangani,4
C00040,69,Female,Likasi,2
C00041,20,Male,Kolwezi,4
C00042,54,Male,Goma,1
C00043,68,Male,Kananga,3
C00044,24,Female,Kisangani,2
C00045,38,Female,Likasi,1
C00046,26,Female,Kinshasa,2
C00047,56,Male,Kinshasa,1
C00048,35,Male,Kisangani,3
C00049,21,Male,Goma,1
C00050,42,Female,Goma,2
C00051,31,Male,Mbuji-Mayi,1
C00052,67,Male,Kananga,1
C00053,26,Female,Lubumbashi,4
C00054,43,Male,Goma,3
C00055,19,Male,Kananga,4
C00056,37,Female,Goma,1
C00057,45,Female,Mbuji-Mayi,1
C00058,64,Male,Bukavu,2
C00059,24,Female,Goma,2
C00060,61,Male,Kananga,1
C00061,25,Female,Mbuji-Mayi,3
C00062,64,Male,Mbuji-Mayi,1
C00063,52,Female,Kananga,1
C00064,31,Male,Kananga,1
C00065,34,Female,Kinshasa,2
C00066,53,Female,Bukavu,3
C00067,67,Female,Mbuji-Mayi,2
C00068,57,Female,Kinshasa,2
C00069,21,Female,Kolwezi,1
C00070,19,Female,Kisangani,4
C00071,23,Female,Kisangani,4
C00072,59,Male,Mbuji-Mayi,2
C00073,21,Male,Kinshasa,1
C00074,46,Female,Bukavu,2
C00075,35,Female,Bukavu,2
C00076,43,Male,Kolwezi,4
C00077,61,Male,Mbuji-Mayi,4
C00078,51,Female,Goma,3
C00079,27,Male,Kolwezi,1
C00080,53,Male,Kinshasa,4
C00081,31,Female,Goma,2
C00082,48,Female,Kisangani,3
C00083,65,Female,Matadi,2
C00084,32,Male,Kisangani,1
C00085,25,Female,Mbuji-Mayi,2
C00086,31,Female,Kananga,1
C00087,40,Male,Kisangani,1
C00088,57,Female,Likasi,3
C00089,38,Male,Kisangani,1
C00090,33,Male,Kisangani,1
C00091,62,Male,Kisangani,1
C00092,35,Male,Kisangani,2
C00093,64,Male,Goma,4
C00094,41,Male,Goma,1
C00095,43,Female,Kisangani,1
C00096,42,Female,Lubumbashi,4
C00097,62,Female,Lubumbashi,3
C00098,58,Male,Goma,1
C00099,46,Female,Matadi,3
C00100,32,Male,Kananga,2
C00101,62,Female,Kolwezi,3
C00102,18,Male,Likasi,2
C00103,42,Female,Likasi,4
C00104,24,Male,Kisangani,1
C00105,26,Female,Matadi,1
C00106,41,Male,Lubumbashi,1
C00107,18,Female,Lubumbashi,2
C00108,61,Male,Matadi,4
C00109,25,Female,Kananga,2
C00110,41,Female,Goma,1
C00111,28,Female,Kananga,2
C00112,68,Male,Mbuji-Mayi,2
C00113,34,Male,Mbuji-Mayi,4
C00114,25,Male,Lubumbashi,2
C00115,52,Male,Kolwezi,2
C00116,52,Male,Mbuji-Mayi,3
C00117,50,Female,Lubumbashi,3
C00118,22,Male,Kisangani,2
C00119,59,Female,Bukavu,1
C00120,56,Female,Bukavu,3
C00121,58,Male,Kinshasa,3
C00122,45,Female,Kisangani,3
C00123,24,Male,Bukavu,4
C00124,26,Male,Kananga,3
C00125,25,Male,Kinshasa,3
C00126,29,Female,Lubumbashi,4
C00127,51,Male,Matadi,1
