customer_id,month,revenue
C00001,2024-01-01,22.12
C00001,2024-02-01,21.36
C00001,2024-03-01,21.56
C00001,2024-04-01,20.7
C00001,2024-05-01,21.3
C00001,2024-06-01,22.02
C00001,2024-07-01,25.51
C00001,2024-08-01,21.9
C00001,2024-09-01,23.1
C00001,2024-10-01,22.93
C00001,2024-11-01,20.15
C00001,2024-12-01,21.68
C00001,2025-01-01,22.38
C00001,2025-02-01,21.3
C00001,2025-03-01,21.0
C00001,2025-04-01,22.43
C00001,2025-05-01,23.18
C00001,2025-06-01,21.15
C00001,2025-07-01,21.38
C00001,2025-08-01,20.46
C00001,2025-09-01,23.16
C00001,2025-10-01,21.82
C00001,2025-11-01,21.84
C00001,2025-12-01,22.03
C00002,2024-01-01,20.85
C00002,2024-02-01,22.07
C00002,2024-03-01,21.35
C00002,2024-04-01,22.21
C00002,2024-05-01,21.1
C00002,2024-06-01,24.6
C00002,2024-07-01,22.6
C00002,2024-08-01,20.89
C00002,2024-09-01,21.97
C00002,2024-10-01,20.19
C00002,2024-11-01,22.51
C00002,2024-12-01,23.97
C00002,2025-01-01,21.12
C00002,2025-02-01,21.83
C00002,2025-03-01,21.45
C00002,2025-04-01,22.07
C00002,2025-05-01,22.82
C00002,2025-06-01,22.38
C00002,2025-07-01,21.34
C00002,2025-08-01,22.0
C00002,2025-09-01,21.97
C00002,2025-10-01,22.57
C00002,2025-11-01,21.24
C00002,2025-12-01,21.18
C00003,2024-01-01,42.62
C00003,2024-02-01,39.47
C00003,2024-03-01,42.97
C00003,2024-04-01,43.79
C00003,2024-05-01,40.0
C00003,2024-06-01,42.35
C00003,2024-07-01,40.58
C00003,2024-08-01,41.87
C00003,2024-09-01,41.09
C00003,2024-10-01,43.72
C00003,2024-11-01,42.14
C00003,2024-12-01,42.23
C00003,2025-01-01,40.64
C00003,2025-02-01,40.34
C00003,2025-03-01,41.61
C00003,2025-04-01,43.0
C00003,2025-05-01,41.52
C00003,2025-06-01,41.46
C00003,2025-07-01,41.84
C00003,2025-08-01,41.33
C00003,2025-09-01,42.78
C00003,2025-10-01,43.53
C00003,2025-11-01,40.66
C00003,2025-12-01,43.6
C00004,2024-01-01,7.95
C00004,2024-02-01,5.85
C00004,2024-03-01,9.05
C00004,2024-04-01,6.23
C00004,2024-05-01,8.12
C00004,2024-06-01,8.23
C00004,2024-07-01,6.47
C00004,2024-08-01,5.65
C00004,2024-09-01,7.92
C00004,2024-10-01,5.94
C00004,2024-11-01,5.94
C00004,2024-12-01,7.67
C00004,2025-01-01,7.16
C00004,2025-02-01,6.06
C00004,2025-03-01,5.58
C00004,2025-04-01,5.18
C00004,2025-05-01,6.04
C00004,2025-06-01,6.09
C00004,2025-07-01,6.85
C00004,2025-08-01,8.23
C00004,2025-09-01,8.43
C00004,2025-10-01,7.2
C00004,2025-11-01,5.65
C00004,2025-12-01,5.26
C00005,2024-01-01,12.72
C00005,2024-02-01,10.99
C00005,2024-03-01,14.51
C00005,2024-04-01,11.19
C00005,2024-05-01,12.38
C00005,2024-06-01,9.94
C00005,2024-07-01,13.39
C00005,2024-08-01,11.54
C00005,2024-09-01,11.54
C00005,2024-10-01,12.5
C00005,2024-11-01,13.26
C00005,2024-12-01,11.17
C00005,2025-01-01,13.2
C00005,2025-02-01,13.04
C00005,2025-03-01,13.28
C00005,2025-04-01,11.4
C00005,2025-05-01,12.54
C00005,2025-06-01,11.08
C00005,2025-07-01,13.2
C00005,2025-08-01,12.31
C00005,2025-09-01,12.14
C00005,2025-10-01,12.54
C00005,2025-11-01,12.44
C00005,2025-12-01,12.14
C00006,2024-01-01,7.87
C00006,2024-02-01,7.91
C00006,2024-03-01,6.41
C00006,2024-04-01,8.05
C00006,2024-05-01,6.19
C00006,2024-06-01,6.63
C00006,2024-07-01,6.49
C00006,2024-08-01,6.58
C00006,2024-09-01,7.04
C00006,2024-10-01,5.67
C00006,2024-11-01,7.83
C00006,2024-12-01,7.33
C00006,2025-01-01,6.09
C00006,2025-02-01,7.54
C00006,2025-03-01,7.58
C00006,2025-04-01,8.47
C00006,2025-05-01,4.89
C00006,2025-06-01,7.36
C00006,2025-07-01,8.16
C00006,2025-08-01,7.6
C00006,2025-09-01,7.16
C00006,2025-10-01,7.92
C00006,2025-11-01,6.62
C00006,2025-12-01,6.6
C00007,2024-01-01,6.16
C00007,2024-02-01,6.68
C00007,2024-03-01,7.36
C00007,2024-04-01,7.49
C00007,2024-05-01,7.36
C00007,2024-06-01,7.68
C00007,2024-07-01,7.15
C00007,2024-08-01,7.73
C00007,2024-09-01,7.32
C00007,2024-10-01,4.82
C00007,2024-11-01,5.9
C00007,2024-12-01,5.43
C00007,2025-01-01,6.81
C00007,2025-02-01,7.17
C00007,2025-03-01,7.26
C00007,2025-04-01,6.55
C00007,2025-05-01,8.25
C00007,2025-06-01,7.82
C00007,2025-07-01,5.47
C00007,2025-08-01,7.19
C00007,2025-09-01,5.92
C00007,2025-10-01,5.57
C00007,2025-11-01,7.24
C00007,2025-12-01,6.51
C00008,2024-01-01,12.29
C00008,2024-02-01,11.96
C00008,2024-03-01,13.32
C00008,2024-04-01,13.27
C00008,2024-05-01,13.13
C00008,2024-06-01,12.2
C00008,2024-07-01,11.56
C00008,2024-08-01,12.91
C00008,2024-09-01,12.5
C00008,2024-10-01,11.2
C00008,2024-11-01,11.85
C00008,2024-12-01,11.05
C00008,2025-01-01,10.8
C00008,2025-02-01,12.42
C00008,2025-03-01,12.36
C00008,2025-04-01,10.75
C00008,2025-05-01,13.68
C00008,2025-06-01,14.5
C00008,2025-07-01,13.14
C00008,2025-08-01,12.13
C00008,2025-09-01,12.54
C00008,2025-10-01,13.14
C00008,2025-11-01,11.89
C00008,2025-12-01,14.05
C00009,2024-01-01,7.55
C00009,2024-02-01,6.31
C00009,2024-03-01,8.48
C00009,2024-04-01,6.35
C00009,2024-05-01,5.44
C00009,2024-06-01,7.02
C00009,2024-07-01,6.88
C00009,2024-08-01,6.44
C00009,2024-09-01,6.17
C00009,2024-10-01,6.16
C00009,2024-11-01,7.76
C00009,2024-12-01,7.26
C00009,2025-01-01,6.79
C00009,2025-02-01,8.87
C00009,2025-03-01,6.98
C00009,2025-04-01,4.74
C00009,2025-05-01,6.06
C00009,2025-06-01,6.7
C00009,2025-07-01,6.23
C00009,2025-08-01,6.67
C00009,2025-09-01,8.56
C00009,2025-10-01,7.51
C00009,2025-11-01,9.01
C00009,2025-12-01,7.95
C00010,2024-01-01,22.8
C00010,2024-02-01,19.69
C00010,2024-03-01,23.69
C00010,2024-04-01,21.93
C00010,2024-05-01,21.6
C00010,2024-06-01,19.68
C00010,2024-07-01,24.36
C00010,2024-08-01,21.13
C00010,2024-09-01,20.69
C00010,2024-10-01,21.0
C00010,2024-11-01,21.97
C00010,2024-12-01,21.13
C00010,2025-01-01,22.06
C00010,2025-02-01,20.82
C00010,2025-03-01,21.38
C00010,2025-04-01,22.84
C00010,2025-05-01,21.84
C00010,2025-06-01,20.83
C00010,2025-07-01,21.31
C00010,2025-08-01,20.95
C00010,2025-09-01,23.27
C00010,2025-10-01,23.23
C00010,2025-11-01,20.15
C00010,2025-12-01,21.73
C00011,2024-01-01,12.65
C00011,2024-02-01,11.86
C00011,2024-03-01,12.66
C00011,2024-04-01,10.46
C00011,2024-05-01,11.35
C00011,2024-06-01,12.8
C00011,2024-07-01,12.52
C00011,2024-08-01,11.41
C00011,2024-09-01,11.33
C00011,2024-10-01,12.88
C00011,2024-11-01,10.69
C00011,2024-12-01,12.73
C00011,2025-01-01,12.01
C00011,2025-02-01,11.2
C00011,2025-03-01,11.93
C00011,2025-04-01,11.61
C00011,2025-05-01,12.61
C00011,2025-06-01,11.54
C00011,2025-07-01,12.06
C00011,2025-08-01,12.38
C00011,2025-09-01,13.03
C00011,2025-10-01,11.02
C00011,2025-11-01,10.5
C00011,2025-12-01,13.96
C00012,2024-01-01,21.43
C00012,2024-02-01,23.09
C00012,2024-03-01,23.36
C00012,2024-04-01,21.42
C00012,2024-05-01,21.09
C00012,2024-06-01,22.7
C00012,2024-07-01,21.24
C00012,2024-08-01,21.09
C00012,2024-09-01,21.63
C00012,2024-10-01,22.13
C00012,2024-11-01,22.7
C00012,2024-12-01,22.65
C00012,2025-01-01,23.23
C00012,2025-02-01,21.19
C00012,2025-03-01,23.56
C00012,2025-04-01,21.76
C00012,2025-05-01,22.41
C00012,2025-06-01,21.31
C00012,2025-07-01,21.79
C00012,2025-08-01,20.87
C00012,2025-09-01,22.06
C00012,2025-10-01,22.03
C00012,2025-11-01,21.58
C00012,2025-12-01,22.34
C00013,2024-01-01,7.84
C00013,2024-02-01,7.38
C00013,2024-03-01,4.97
C00013,2024-04-01,9.33
C00013,2024-05-01,6.36
C00013,2024-06-01,6.47
C00013,2024-07-01,6.9
C00013,2024-08-01,7.04
C00013,2024-09-01,5.69
C00013,2024-10-01,7.25
C00013,2024-11-01,8.05
C00013,2024-12-01,5.25
C00013,2025-01-01,7.22
C00013,2025-02-01,6.52
C00013,2025-03-01,7.67
C00013,2025-04-01,7.71
C00013,2025-05-01,7.29
C00013,2025-06-01,6.83
C00013,2025-07-01,7.13
C00013,2025-08-01,7.72
C00013,2025-09-01,5.36
C00013,2025-10-01,6.98
C00013,2025-11-01,7.58
C00013,2025-12-01,6.63
C00014,2024-01-01,41.42
C00014,2024-02-01,40.77
C00014,2024-03-01,42.65
C00014,2024-04-01,42.11
C00014,2024-05-01,43.26
C00014,2024-06-01,41.95
C00014,2024-07-01,42.16
C00014,2024-08-01,41.96
C00014,2024-09-01,42.44
C00014,2024-10-01,41.36
C00014,2024-11-01,41.74
C00014,2024-12-01,42.34
C00014,2025-01-01,40.94
C00014,2025-02-01,41.91
C00014,2025-03-01,42.39
C00014,2025-04-01,42.45
C00014,2025-05-01,41.39
C00014,2025-06-01,41.47
C00014,2025-07-01,41.35
C00014,2025-08-01,43.04
C00014,2025-09-01,42.67
C00014,2025-10-01,39.5
C00014,2025-11-01,43.34
C00014,2025-12-01,43.32
C00015,2024-01-01,41.74
C00015,2024-02-01,41.94
