customer_id,month,data_gb,call_minutes,sms
C00001,2024-01-01,23.28,611.0,222.0
C00001,2024-02-01,19.49,453.0,168.0
C00001,2024-03-01,25.07,478.0,155.0
C00001,2024-04-01,27.87,507.0,178.0
C00001,2024-05-01,34.22,417.0,185.0
C00001,2024-06-01,48.89,529.0,121.0
C00001,2024-07-01,26.22,311.0,132.0
C00001,2024-08-01,45.66,445.0,121.0
C00001,2024-09-01,45.23,592.0,134.0
C00001,2024-10-01,40.09,431.0,140.0
C00001,2024-11-01,16.8,529.0,147.0
C00001,2024-12-01,28.28,493.0,144.0
C00001,2025-01-01,26.73,532.0,141.0
C00001,2025-02-01,33.66,383.0,146.0
C00001,2025-03-01,33.21,434.0,166.0
C00001,2025-04-01,13.92,461.0,159.0
C00001,2025-05-01,55.99,391.0,153.0
C00001,2025-06-01,40.48,505.0,113.0
C00001,2025-07-01,30.16,305.0,150.0
C00001,2025-08-01,20.84,536.0,130.0
C00001,2025-09-01,27.52,513.0,158.0
C00001,2025-10-01,43.71,479.0,147.0
C00001,2025-11-01,21.14,616.0,122.0
C00001,2025-12-01,42.25,559.0,162.0
C00002,2024-01-01,32.63,471.0,148.0
C00002,2024-02-01,15.96,498.0,195.0
C00002,2024-03-01,32.74,497.0,119.0
C00002,2024-04-01,36.86,438.0,175.0
C00002,2024-05-01,46.41,609.0,107.0
C00002,2024-06-01,42.23,552.0,138.0
C00002,2024-07-01,46.93,533.0,191.0
C00002,2024-08-01,22.32,443.0,153.0
C00002,2024-09-01,46.73,536.0,122.0
C00002,2024-10-01,52.76,476.0,123.0
C00002,2024-11-01,27.25,393.0,83.0
C00002,2024-12-01,33.83,376.0,159.0
C00002,2025-01-01,44.84,530.0,151.0
C00002,2025-02-01,19.59,568.0,208.0
C00002,2025-03-01,49.08,394.0,148.0
C00002,2025-04-01,32.17,468.0,151.0
C00002,2025-05-01,56.65,509.0,137.0
C00002,2025-06-01,37.98,395.0,129.0
C00002,2025-07-01,44.86,515.0,213.0
C00002,2025-08-01,37.68,400.0,102.0
C00002,2025-09-01,45.02,417.0,116.0
C00002,2025-10-01,29.85,580.0,139.0
C00002,2025-11-01,26.58,597.0,181.0
C00002,2025-12-01,51.67,608.0,182.0
C00003,2024-01-01,68.73,1066.0,249.0
C00003,2024-02-01,107.84,1017.0,180.0
C00003,2024-03-01,66.74,1098.0,173.0
C00003,2024-04-01,81.61,912.0,194.0
C00003,2024-05-01,86.58,1027.0,230.0
C00003,2024-06-01,59.39,988.0,181.0
C00003,2024-07-01,65.26,925.0,164.0
C00003,2024-08-01,85.25,1040.0,235.0
C00003,2024-09-01,84.92,1016.0,203.0
C00003,2024-10-01,90.13,789.0,198.0
C00003,2024-11-01,84.76,1179.0,156.0
C00003,2024-12-01,62.8,773.0,144.0
C00003,2025-01-01,77.73,928.0,170.0
C00003,2025-02-01,80.34,1058.0,201.0
C00003,2025-03-01,80.4,1040.0,127.0
C00003,2025-04-01,81.93,993.0,200.0
C00003,2025-05-01,71.24,979.0,216.0
C00003,2025-06-01,104.14,831.0,223.0
C00003,2025-07-01,98.27,873.0,193.0
C00003,2025-08-01,84.14,1201.0,287.0
C00003,2025-09-01,60.94,970.0,208.0
C00003,2025-10-01,88.35,1020.0,162.0
C00003,2025-11-01,65.12,846.0,119.0
C00003,2025-12-01,56.54,1116.0,228.0
C00004,2024-01-01,6.11,96.0,50.0
C00004,2024-02-01,4.46,68.0,56.0
C00004,2024-03-01,6.71,77.0,38.0
C00004,2024-04-01,5.7,107.0,57.0
C00004,2024-05-01,7.83,79.0,49.0
C00004,2024-06-01,3.0,81.0,46.0
C00004,2024-07-01,7.88,122.0,49.0
C00004,2024-08-01,0.69,108.0,54.0
C00004,2024-09-01,3.13,117.0,40.0
C00004,2024-10-01,6.66,105.0,35.0
C00004,2024-11-01,4.28,103.0,53.0
C00004,2024-12-01,7.07,123.0,48.0
C00004,2025-01-01,6.12,132.0,40.0
C00004,2025-02-01,3.78,67.0,44.0
C00004,2025-03-01,5.41,58.0,54.0
C00004,2025-04-01,4.06,99.0,38.0
C00004,2025-05-01,4.8,134.0,46.0
C00004,2025-06-01,0.57,124.0,55.0
C00004,2025-07-01,5.19,111.0,51.0
C00004,2025-08-01,8.29,115.0,45.0
C00004,2025-09-01,7.98,136.0,59.0
C00004,2025-10-01,5.81,83.0,57.0
C00004,2025-11-01,5.78,99.0,57.0
C00004,2025-12-01,5.17,111.0,60.0
C00005,2024-01-01,8.34,199.0,82.0
C00005,2024-02-01,24.7,282.0,115.0
C00005,2024-03-01,20.65,198.0,59.0
C00005,2024-04-01,14.69,295.0,96.0
C00005,2024-05-01,8.15,205.0,76.0
C00005,2024-06-01,11.94,192.0,103.0
C00005,2024-07-01,12.26,282.0,80.0
C00005,2024-08-01,16.28,248.0,108.0
C00005,2024-09-01,17.68,282.0,117.0
C00005,2024-10-01,17.71,265.0,87.0
C00005,2024-11-01,19.25,215.0,94.0
C00005,2024-12-01,10.69,206.0,94.0
C00005,2025-01-01,13.83,209.0,100.0
C00005,2025-02-01,15.78,223.0,146.0
C00005,2025-03-01,16.66,256.0,86.0
C00005,2025-04-01,15.69,262.0,100.0
C00005,2025-05-01,22.09,165.0,92.0
C00005,2025-06-01,18.57,205.0,69.0
C00005,2025-07-01,12.41,302.0,83.0
C00005,2025-08-01,13.22,271.0,88.0
C00005,2025-09-01,12.8,217.0,89.0
C00005,2025-10-01,9.19,237.0,121.0
C00005,2025-11-01,22.91,312.0,103.0
C00005,2025-12-01,23.29,365.0,104.0
C00006,2024-01-01,3.02,126.0,38.0
C00006,2024-02-01,3.23,58.0,57.0
C00006,2024-03-01,0.37,120.0,68.0
C00006,2024-04-01,8.46,75.0,31.0
C00006,2024-05-01,3.72,118.0,62.0
C00006,2024-06-01,6.33,111.0,74.0
C00006,2024-07-01,4.04,84.0,38.0
C00006,2024-08-01,5.87,96.0,58.0
C00006,2024-09-01,4.1,113.0,46.0
C00006,2024-10-01,4.67,99.0,33.0
C00006,2024-11-01,4.72,111.0,40.0
C00006,2024-12-01,8.82,100.0,44.0
C00006,2025-01-01,3.69,127.0,42.0
C00006,2025-02-01,5.6,118.0,56.0
C00006,2025-03-01,3.87,117.0,52.0
C00006,2025-04-01,1.56,124.0,44.0
C00006,2025-05-01,4.65,106.0,45.0
C00006,2025-06-01,6.51,78.0,44.0
C00006,2025-07-01,7.45,101.0,39.0
C00006,2025-08-01,5.16,108.0,34.0
C00006,2025-09-01,8.31,136.0,51.0
C00006,2025-10-01,4.6,100.0,59.0
C00006,2025-11-01,5.91,105.0,64.0
C00006,2025-12-01,7.26,81.0,59.0
C00007,2024-01-01,7.3,106.0,56.0
C00007,2024-02-01,4.39,76.0,69.0
C00007,2024-03-01,2.32,134.0,49.0
C00007,2024-04-01,7.49,100.0,59.0
C00007,2024-05-01,5.9,87.0,51.0
C00007,2024-06-01,4.71,113.0,51.0
C00007,2024-07-01,5.57,79.0,37.0
C00007,2024-08-01,5.14,104.0,39.0
C00007,2024-09-01,6.14,112.0,52.0
C00007,2024-10-01,5.03,75.0,37.0
C00007,2024-11-01,5.79,83.0,42.0
C00007,2024-12-01,5.56,141.0,46.0
C00007,2025-01-01,9.1,98.0,56.0
C00007,2025-02-01,6.92,121.0,53.0
C00007,2025-03-01,4.54,117.0,54.0
